,col1
0,u+0000231a
1,u+0000231b
2,u+000023e9
3,u+000023ea
4,u+000023eb
5,u+000023ec
6,u+000023f0
7,u+000023f3
8,u+000025fd
9,u+000025fe
10,u+00002614
11,u+00002615
12,u+00002648
13,u+00002649
14,u+0000264a
15,u+0000264b
16,u+0000264c
17,u+0000264d
18,u+0000264e
19,u+0000264f
20,u+00002650
21,u+00002651
22,u+00002652
23,u+00002653
24,u+0000267f
25,u+00002693
26,u+000026a1
27,u+000026aa
28,u+000026ab
29,u+000026bd
30,u+000026be
31,u+000026c4
32,u+000026c5
33,u+000026ce
34,u+000026d4
35,u+000026ea
36,u+000026f2
37,u+000026f3
38,u+000026f5
39,u+000026fa
40,u+000026fd
41,u+00002705
42,u+0000270a
43,u+0000270b
44,u+00002728
45,u+0000274c
46,u+0000274e
47,u+00002753
48,u+00002754
49,u+00002755
50,u+00002757
51,u+00002795
52,u+00002796
53,u+00002797
54,u+000027b0
55,u+000027bf
56,u+00002b1b
57,u+00002b1c
58,u+00002b50
59,u+00002b55
60,u+0001f004
61,u+0001f0cf
62,u+0001f18e
63,u+0001f191
64,u+0001f192
65,u+0001f193
66,u+0001f194
67,u+0001f195
68,u+0001f196
69,u+0001f197
70,u+0001f198
71,u+0001f199
72,u+0001f19a
73,u+0001f201
74,u+0001f21a
75,u+0001f22f
76,u+0001f232
77,u+0001f233
78,u+0001f234
79,u+0001f235
80,u+0001f236
81,u+0001f238
82,u+0001f239
83,u+0001f23a
84,u+0001f250
85,u+0001f251
86,u+0001f300
87,u+0001f301
88,u+0001f302
89,u+0001f303
90,u+0001f304
91,u+0001f305
92,u+0001f306
93,u+0001f307
94,u+0001f308
95,u+0001f309
96,u+0001f30a
97,u+0001f30b
98,u+0001f30c
99,u+0001f30d
100,u+0001f30e
101,u+0001f30f
102,u+0001f310
103,u+0001f311
104,u+0001f312
105,u+0001f313
106,u+0001f314
107,u+0001f315
108,u+0001f316
109,u+0001f317
110,u+0001f318
111,u+0001f319
112,u+0001f31a
113,u+0001f31b
114,u+0001f31c
115,u+0001f31d
116,u+0001f31e
117,u+0001f31f
118,u+0001f320
119,u+0001f32d
120,u+0001f32e
121,u+0001f32f
122,u+0001f330
123,u+0001f331
124,u+0001f332
125,u+0001f333
126,u+0001f334
127,u+0001f335
128,u+0001f337
129,u+0001f338
130,u+0001f339
131,u+0001f33a
132,u+0001f33b
133,u+0001f33c
134,u+0001f33d
135,u+0001f33e
136,u+0001f33f
137,u+0001f340
138,u+0001f341
139,u+0001f342
140,u+0001f343
141,u+0001f344
142,u+0001f345
