Column1;col1;col2
0;u+0000231a;\xe2\x8c\x9a
1;u+0000231b;\xe2\x8c\x9b
2;u+000023e9;\xe2\x8f\xa9
3;u+000023ea;\xe2\x8f\xaa
4;u+000023eb;\xe2\x8f\xab
5;u+000023ec;\xe2\x8f\xac
6;u+000023f0;\xe2\x8f\xb0
7;u+000023f3;\xe2\x8f\xb3
8;u+000025fd;\xe2\x97\xbd
9;u+000025fe;\xe2\x97\xbe
10;u+00002614;\xe2\x98\x94
11;u+00002615;\xe2\x98\x95
12;u+00002648;\xe2\x99\x88
13;u+00002649;\xe2\x99\x89
14;u+0000264a;\xe2\x99\x8a
15;u+0000264b;\xe2\x99\x8b
16;u+0000264c;\xe2\x99\x8c
17;u+0000264d;\xe2\x99\x8d
18;u+0000264e;\xe2\x99\x8e
19;u+0000264f;\xe2\x99\x8f
20;u+00002650;\xe2\x99\x90
21;u+00002651;\xe2\x99\x91
22;u+00002652;\xe2\x99\x92
23;u+00002653;\xe2\x99\x93
24;u+0000267f;\xe2\x99\xbf
25;u+00002693;\xe2\x9a\x93
26;u+000026a1;\xe2\x9a\xa1
27;u+000026aa;\xe2\x9a\xaa
28;u+000026ab;\xe2\x9a\xab
29;u+000026bd;\xe2\x9a\xbd
30;u+000026be;\xe2\x9a\xbe
31;u+000026c4;\xe2\x9b\x84
32;u+000026c5;\xe2\x9b\x85
33;u+000026ce;\xe2\x9b\x8e
34;u+000026d4;\xe2\x9b\x94
35;u+000026ea;\xe2\x9b\xaa
36;u+000026f2;\xe2\x9b\xb2
37;u+000026f3;\xe2\x9b\xb3
38;u+000026f5;\xe2\x9b\xb5
39;u+000026fa;\xe2\x9b\xba
40;u+000026fd;\xe2\x9b\xbd
41;u+00002705;\xe2\x9c\x85
42;u+0000270a;\xe2\x9c\x8a
43;u+0000270b;\xe2\x9c\x8b
44;u+00002728;\xe2\x9c\xa8
45;u+0000274c;\xe2\x9d\x8c
46;u+0000274e;\xe2\x9d\x8e
47;u+00002753;\xe2\x9d\x93
48;u+00002754;\xe2\x9d\x94
49;u+00002755;\xe2\x9d\x95
50;u+00002757;\xe2\x9d\x97
51;u+00002795;\xe2\x9e\x95
52;u+00002796;\xe2\x9e\x96
53;u+00002797;\xe2\x9e\x97
54;u+000027b0;\xe2\x9e\xb0
55;u+000027bf;\xe2\x9e\xbf
56;u+00002b1b;\xe2\xac\x9b
57;u+00002b1c;\xe2\xac\x9c
58;u+00002b50;\xe2\xad\x90
59;u+00002b55;\xe2\xad\x95
60;u+0001f004;\xf0\x9f\x80\x84
61;u+0001f0cf;\xf0\x9f\x83\x8f
62;u+0001f18e;\xf0\x9f\x86\x8e
63;u+0001f191;\xf0\x9f\x86\x91
64;u+0001f192;\xf0\x9f\x86\x92
65;u+0001f193;\xf0\x9f\x86\x93
66;u+0001f194;\xf0\x9f\x86\x94
67;u+0001f195;\xf0\x9f\x86\x95
68;u+0001f196;\xf0\x9f\x86\x96
69;u+0001f197;\xf0\x9f\x86\x97
70;u+0001f198;\xf0\x9f\x86\x98
71;u+0001f199;\xf0\x9f\x86\x99
72;u+0001f19a;\xf0\x9f\x86\x9a
73;u+0001f201;\xf0\x9f\x88\x81
74;u+0001f21a;\xf0\x9f\x88\x9a
75;u+0001f22f;\xf0\x9f\x88\xaf
76;u+0001f232;\xf0\x9f\x88\xb2
77;u+0001f233;\xf0\x9f\x88\xb3
78;u+0001f234;\xf0\x9f\x88\xb4
79;u+0001f235;\xf0\x9f\x88\xb5
80;u+0001f236;\xf0\x9f\x88\xb6
81;u+0001f238;\xf0\x9f\x88\xb8
82;u+0001f239;\xf0\x9f\x88\xb9
83;u+0001f23a;\xf0\x9f\x88\xba
84;u+0001f250;\xf0\x9f\x89\x90
85;u+0001f251;\xf0\x9f\x89\x91
86;u+0001f300;\xf0\x9f\x8c\x80
87;u+0001f301;\xf0\x9f\x8c\x81
88;u+0001f302;\xf0\x9f\x8c\x82
89;u+0001f303;\xf0\x9f\x8c\x83
90;u+0001f304;\xf0\x9f\x8c\x84
91;u+0001f305;\xf0\x9f\x8c\x85
92;u+0001f306;\xf0\x9f\x8c\x86
93;u+0001f307;\xf0\x9f\x8c\x87
94;u+0001f308;\xf0\x9f\x8c\x88
95;u+0001f309;\xf0\x9f\x8c\x89
96;u+0001f30a;\xf0\x9f\x8c\x8a
97;u+0001f30b;\xf0\x9f\x8c\x8b
98;u+0001f30c;\xf0\x9f\x8c\x8c
99;u+0001f30d;\xf0\x9f\x8c\x8d
100;u+0001f30e;\xf0\x9f\x8c\x8e
101;u+0001f30f;\xf0\x9f\x8c\x8f
102;u+0001f310;\xf0\x9f\x8c\x90
103;u+0001f311;\xf0\x9f\x8c\x91
104;u+0001f312;\xf0\x9f\x8c\x92
105;u+0001f313;\xf0\x9f\x8c\x93
106;u+0001f314;\xf0\x9f\x8c\x94
107;u+0001f315;\xf0\x9f\x8c\x95
108;u+0001f316;\xf0\x9f\x8c\x96
109;u+0001f317;\xf0\x9f\x8c\x97
110;u+0001f318;\xf0\x9f\x8c\x98
111;u+0001f319;\xf0\x9f\x8c\x99
112;u+0001f31a;\xf0\x9f\x8c\x9a
113;u+0001f31b;\xf0\x9f\x8c\x9b
114;u+0001f31c;\xf0\x9f\x8c\x9c
115;u+0001f31d;\xf0\x9f\x8c\x9d
116;u+0001f31e;\xf0\x9f\x8c\x9e
117;u+0001f31f;\xf0\x9f\x8c\x9f
118;u+0001f320;\xf0\x9f\x8c\xa0
119;u+0001f32d;\xf0\x9f\x8c\xad
120;u+0001f32e;\xf0\x9f\x8c\xae
121;u+0001f32f;\xf0\x9f\x8c\xaf
122;u+0001f330;\xf0\x9f\x8c\xb0
123;u+0001f331;\xf0\x9f\x8c\xb1
124;u+0001f332;\xf0\x9f\x8c\xb2
125;u+0001f333;\xf0\x9f\x8c\xb3
126;u+0001f334;\xf0\x9f\x8c\xb4
127;u+0001f335;\xf0\x9f\x8c\xb5
128;u+0001f337;\xf0\x9f\x8c\xb7
129;u+0001f338;\xf0\x9f\x8c\xb8
130;u+0001f339;\xf0\x9f\x8c\xb9
131;u+0001f33a;\xf0\x9f\x8c\xba
132;u+0001f33b;\xf0\x9f\x8c\xbb
133;u+0001f33c;\xf0\x9f\x8c\xbc
134;u+0001f33d;\xf0\x9f\x8c\xbd
135;u+0001f33e;\xf0\x9f\x8c\xbe
136;u+0001f33f;\xf0\x9f\x8c\xbf
137;u+0001f340;\xf0\x9f\x8d\x80
138;u+0001f341;\xf0\x9f\x8d\x81
139;u+0001f342;\xf0\x9f\x8d\x82
140;u+0001f343;\xf0\x9f\x8d\x83
141;u+0001f344;\xf0\x9f\x8d\x84
142;u+0001f345;\xf0\x9f\x8d\x85
143;u+0001f346;\xf0\x9f\x8d\x86
144;u+0001f347;\xf0\x9f\x8d\x87
145;u+0001f348;\xf0\x9f\x8d\x88
